"Bug Id" "Short Id" "#Crash" "#Reboot"
zookeeper-335 335 3 3
zookeeper-569 569 1 0
zookeeper-769 769 1 0
zookeeper-790 790 1 1
zookeeper-791 791 2 0
zookeeper-975 975 1 1
zookeeper-1075 1075 3 2
zookeeper-1118 1118 1 1
zookeeper-1154 1154 3 3
zookeeper-1294 1294 1 0
zookeeper-1319 1319 1 2
zookeeper-1332 1332 2 1
zookeeper-1367 1367 2 1
zookeeper-1372 1372 1 1
zookeeper-1419 1419 3 2
zookeeper-1492 1492 1 0
zookeeper-1573 1573 1 1
zookeeper-1653 1653 1 1
