"Bug Id" "Short Id" "#Crash" "#Reboot"
mapreduce-913 913 1 0
mapreduce-3780 3780 1 0
mapreduce-3846 3846 1 1
mapreduce-4252 4252 1 0
mapreduce-4425 4425 2 0
mapreduce-4607 4607 2 0
mapreduce-4748 4748 1 0
mapreduce-4832 4832 1 0
mapreduce-4833 4833 1 0
mapreduce-4890 4890 2 0
mapreduce-5000 5000 1 0
mapreduce-5169 5169 1 1
mapreduce-5198 5198 1 1
mapreduce-5358 5358 1 0
mapreduce-5405 5405 1 1
mapreduce-5409 5409 2 0
mapreduce-5476 5476 1 1
mapreduce-5489 5489 2 1
mapreduce-5505 5505 1 1
