2 32 0.01 1.0 1.01 2.0 6.0
5 64 0.01 1.0 1.02 2.0 7.0
8 128 0.01 0.99 1.05 2.01 10.42
11 256 0.01 0.96 1.14 2.03 13.88
14 512 0.01 0.91 1.68 2.79 37.11
