2 32 0.001 0.002 0.299 0.328 0.408
5 64 0.001 0.012 0.015 1.041 1.499 
8 128 0.004 0.058 4.071 4.607 6.541 
11 256 0.008 16.789 18.001 18.457 21.199
14 512 0.041 63.73 87.127  88.774 95.263
